"Категории";"Основная категория";"Артикул";"Цена_Трансазия";"Цена_Розничная";"Короткое название";"Характеристики";"Бренд";"Фотографии";"Описание товара";"Рекомендуемые товары";"Сопутствующие товары";"Показывать товар"
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты;
Новинки";"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";460460;188;235;"BIO MIO спрей дла ванны Bio-cleaner с эфирным маслом грейпфрута 500 мл";"(характеристики товара (Бытовая химия))Тип товара:Чистящее средство для ванной;
(характеристики товара (Бытовая химия))Бренд:BIO MIO;
(характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(характеристики товара (Бытовая химия))EAN:4603014008022;
(характеристики товара (Бытовая химия))Объем:500 мл;
(характеристики товара (Бытовая химия))Код товара:CB-00044237";"BIO MIO";"/storage/photo/original/g/bio-mio-sprej-dla-vanni-bio-cleaner-s-efirnim-maslom-grejpfruta-500-ml.jpg";"<br>
<p>
Эффективно удаляет грязь, известковый и мыльный налет в ванных комнатах и душевых кабинах.
</p>
<br>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Придает блеск и глянец ванне, раковине, керамической плитке, хромированным изделиям.</li>
<li>Гипоаллергенно.</li>
<li>99% натуральных ингредиентов.</li>
<li>Не повреждает поверхность.</li>
<li>Содержит ионы серебра.</li>
<li>Подходит для использования в домах с автономной канализацией. Не наносит вреда любым видам септиков.</li>
<li>Биоразлагаемый состав.</li>
<li>Безопасно для планеты.</li>";"CALGON средство для смягчения воды 2-в-1 порошок 1,1 кг;ARIEL Гель для стирки Touch of Lenor fresh 1 л;PERSIL гель для стирки в капсулах Color 14 шт";"ЧИСТЮЛЯ Перчатки латексные с напылением хлопка L;ПЕМОЛЮКС чистящее средство Сода 5 морской бриз 480 г;DR. SCHNELL чистящее средство Quick Tric для очистки ковров и обивки 1 л";1
"Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал;
Новинки";"Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал";460461;152;190;"BIO MIO чистящее средство Bio-Glass Cleaner для стекол, зеркал, пластика 500 мл";"(характеристики товара (Бытовая химия))Тип товара:Чистка стекол и зеркал;
(характеристики товара (Бытовая химия))Бренд:BIO MIO;
(характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(характеристики товара (Бытовая химия))EAN:4603014008992;
(характеристики товара (Бытовая химия))Объем:500 мл;
(характеристики товара (Бытовая химия))Код товара:CB-00044068";"BIO MIO";"/storage/photo/original/g/bio-mio-chistyashee-sredstvo-bio-glass-cleaner-dlya-stekol-zerkal-plastika-500-ml.jpg";"<br><p>Способ применения: поверните носик распылителя до символа «ON». Равномерно нанесите средство на очищаемую поверхность, не давая высохнуть, протрите сухой безворсовой тряпкой или бумажным полотенцем до полного высыхания. По окончании применения поверните носик распылителя в положение «OFF».</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Эффективно и бережно очищает стеклянные, зеркальные и пластиковые поверхности</li><li>Защищает от запотевания, образует защитную пленку от пыли и грязи, облегчает последующее мытье</li><li>Не оставляет разводов, придает блеск</li><li>Удаляет грязь, следы от пальцев и мыльный налет</li><li>Безопасно для планеты</li>";"ЧИСТЮЛЯ Перчатки латексные с напылением хлопка L;ПЕМОЛЮКС чистящее средство Сода 5 морской бриз 480 г;DR. SCHNELL чистящее средство Quick Tric для очистки ковров и обивки 1 л";"CALGON средство для смягчения воды 2-в-1 порошок 1,1 кг;ARIEL Гель для стирки Touch of Lenor fresh 1 л;PERSIL гель для стирки в капсулах Color 14 шт";1
"Бытовая химия/Стирка и уход за бельем/Кондиционеры и ополаскиватели;
Новинки";"Бытовая химия/Стирка и уход за бельем/Кондиционеры и ополаскиватели";460462;218;272;"BIO MIO кондиционер для белья Bio-soft с эфирным маслом мандарина 1 л";"(характеристики товара (Бытовая химия))Тип товара:Кондиционер для белья;
(характеристики товара (Бытовая химия))Бренд:BIO MIO;
(характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(характеристики товара (Бытовая химия))EAN:4603014008800;
(характеристики товара (Бытовая химия))Объем:1 л;
(характеристики товара (Бытовая химия))Код товара:CB-00044236";"BIO MIO";"/storage/photo/original/g/bio-mio-kondicioner-dlya-belya-bio-soft-s-efirnim-maslom-mandarina-1-l.jpg";"<br><p>Подходит для всех видов тканей, включая шерсть и шелк. С натуральным эфирным маслом Мандарина. </p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Придает мягкость белью после стирки.</li><li>Облегчает глажение белья и обладает антистатическим эффектом</li><li>Экономичный расход.</li><li>Идеально подходит для стирки детского белья и одежды людей с чувствительной кожей.</li><li>Уменьшает образование заломов во время стирки.</li><li>Безопасно для планеты.</li>";"CALGON средство для смягчения воды 2-в-1 порошок 1,1 кг;ARIEL Гель для стирки Touch of Lenor fresh 1 л;PERSIL гель для стирки в капсулах Color 14 шт";"АНТИПЯТИН мыло-пятновыводитель для детских вещей 90 г;BAGI Антистатик спрей 200 мл;КАУСТИК отбеливатель Белизна Нью 1 л";1
"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки;
Новинки";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460463;430;538;"BIO MIO гель и пятновыводитель для стирки белья Bio-2-In-1 1,5 л";"(характеристики товара (Бытовая химия))Тип товара:Гель для стирки;
(характеристики товара (Бытовая химия))Бренд:BIO MIO;
(характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(характеристики товара (Бытовая химия))EAN:4603014008534;
(характеристики товара (Бытовая химия))Объем:1.5 л;
(характеристики товара (Бытовая химия))Код товара:CB-00044070";"BIO MIO";"/storage/photo/original/g/bio-mio-gel-i-pyatnovivoditel-dlya-stirki-belya-bio-2-in-1-15-l.jpg";"<br><p>Рекомендации по применению: соответствующее количество средства добавьте в выдвижной отсек стиральной машины или полностью растворите в воде при ручной стирке. Для удаления пятен нанесите небольшое количество средства на загрязненный участок одежды, оставьте на 5 минут, потрите, а затем постирайте в стиральной машине. Не использовать средство для тканей из шерсти и шелка, для таких изделий рекомендуем «BioMio. BIO-SENSITIVE Экологичный гель для стирки деликатных тканей». Для трудновыводимых пятен используйте «BioMio. BIO-STAIN REMOVER Экологичный универсальный пятновыводитель». Мы рекомендуем стирать при низких температурах, полной загрузке машины и не использовать больше средства, чем рекомендовано. В этом случае расход энергии, воды и ее загрязнение являются минимальными.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Эффективно удаляет загрязнения при температуре от +20 °С</li><li>Бережно очищает волокна, сохраняет форму и цвет тканей</li><li>Эффективно удаляет свежие пятна</li><li>Идеально подходит для стирки детского белья и одежды людей с чувствительной кожей</li><li>Предупреждает образование катышков на поверхности ткани</li><li>Сохраняет цвет тканей</li><li>Экономичный расход</li><li>Безопасно для планеты</li>";"АНТИПЯТИН мыло-пятновыводитель для детских вещей 90 г;BAGI Антистатик спрей 200 мл;КАУСТИК отбеливатель Белизна Нью 1 л";"CALGON средство для смягчения воды 2-в-1 порошок 1,1 кг;ARIEL Гель для стирки Touch of Lenor fresh 1 л;PERSIL гель для стирки в капсулах Color 14 шт";1
"Бытовая химия/Стирка и уход за бельем/Кондиционеры и ополаскиватели;
Новинки";"Бытовая химия/Стирка и уход за бельем/Кондиционеры и ополаскиватели";460464;200;250;"BIO MIO кондиционер для белья Bio-soft с эфирным маслом эвкалипта 1 л";"(характеристики товара (Бытовая химия))Тип товара:Кондиционер для белья;
(характеристики товара (Бытовая химия))Бренд:BIO MIO;
(характеристики товара (Бытовая химия))Серия:Bio-soft;
(характеристики товара (Бытовая химия))Для кого:Для детей;
(характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(характеристики товара (Бытовая химия))Фасовка:0,9 - 1,2 л;
(характеристики товара (Бытовая химия))EAN:4603014008527;
(характеристики товара (Бытовая химия))Объем:1 л;
(характеристики товара (Бытовая химия))Код товара:CB-00044350";"BIO MIO";"/storage/photo/original/g/bio-mio-kondicioner-dlya-belya-bio-soft-s-efirnim-maslom-evkalipta-1-l.jpg";"<br><p>Эффективно и безопасно действует на волокна ткани, Облегчает глажку белья и обладает антистатическим эффектом, Экономичный расход, Безопасно для планеты, Экстракт хлопка придает мягкость и нежность белью после стирки, Аромат эвкалипта помогает быстро восстановиться после стресса и снять усталость, способствует раскрытию внутренних резервов организма</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Придает мягкость белью после стирки.</li><li>Облегчает глажение белья и обладает антистатическим эффектом</li><li>Экономичный расход.</li><li>Идеально подходит для стирки детского белья и одежды людей с чувствительной кожей.</li><li>Уменьшает образование заломов во время стирки.</li><li>Безопасно для планеты.</li>";"ЧИСТЮЛЯ Baby губки Натуральные для детской посуды 2 шт;HUGGIES подгузники Elite Soft 3 (5-9кг) 80 шт;PAMPERS подгузники Premium Care 2 (3 - 6 кг) 148 шт";"CALGON средство для смягчения воды 2-в-1 порошок 1,1 кг;ARIEL Гель для стирки Touch of Lenor fresh 1 л;PERSIL гель для стирки в капсулах Color 14 шт";1
"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры;
Новинки";"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";570285;135;169;"STUDIO сыворотка Deep Repair для восстановления секущихся кончиков 100 мл";"(характеристики товара (Косметика и уход))Тип товара:Сыворотка для волос;
(характеристики товара (Косметика и уход))Бренд:STUDIO;
(характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(характеристики товара (Косметика и уход))EAN:4690494039189;
(характеристики товара (Косметика и уход))Объем:100 мл;
(характеристики товара (Косметика и уход))Код товара:CB-00047303";"STUDIO";"/storage/photo/original/g/studio-sivorotka-deep-repair-dlya-vosstanovleniya-sekushihsya-konchikov-100-ml.jpg";"Профессиональное средство для профилактики и коррекции видимых признаков повреждения волос в домашних условиях. Ультраконцетрированная формула FULL REPAIR глубоко проникает в волосы, компенсирует недостаток питательных веществ и витаминов в структуре секущихся кончиков. Заполняет и запечатывает поврежденные внутренние участки и поверхность волоса. Мгновенно разглаживает, делает секущиеся кончики упругими, облегчает расчесывание, защищает от агрессивного воздействия внешней среды, предотвращая дальнейшее сечение. Сохраняет яркость цвета окрашенных волос даже на кончиках.";"LINDA PROFESSIONAL гель-бустер для душа Thermal Spa антиоксидантный  300 мл;WELLATON крем-краска для волос стойкая Золотой песок 11/7;SYOSS бальзам-ополаскиватель Full Hair 5 Густота и Объем 500 мл";"HEAD & SHOULDERS Шампунь 2 в 1 Гладкие и шелковистые 200 мл;LONDA крем-краска для волос стойкая Сандал 11/6;DOVE крем-гель для душа Объятия нежности Сливочная Ваниль и Пион 250 мл";1
"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры;
Новинки";"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";570286;135;169;"STUDIO керапластика Deep Repair для реконструкции волос 100 мл";"(характеристики товара (Косметика и уход))Тип товара:Сыворотка для волос;
(характеристики товара (Косметика и уход))Бренд:STUDIO;
(характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(характеристики товара (Косметика и уход))EAN:4690494039202;
(характеристики товара (Косметика и уход))Объем:100 мл;
(характеристики товара (Косметика и уход))Код товара:CB-00047305";"STUDIO";"/storage/photo/original/g/studio-keraplastika-deep-repair-dlya-rekonstrukcii-volos-100-ml.jpg";"Совершенный уход, сочетающий ценные активные ингредиенты для восстановления поврежденных волос, регулярно подвергающихся механическому, химическому и термическому воздействию. Идеально для ежедневного применения и эффективного восстановления волос.<br>
<br>
Восстанавливает пептидные связи внутри волоса, придает силу и плотность, насыщает волосы кератином и витаминами. Нормализует гидробаланс, делает волосы здоровыми и блестящими, стимулирует выработку собственного коллагена.<br>
<br>
Активные компоненты: кератиновый комплекс, витамин РР, пантенол, органическое касторовое масло. <br>
<br>
Способ применения: Нажмите на дозатор. Распределите средство между ладоней (регулируйте количество в зависимости от длины и своего типа волос). Нанесите на сухие или подсушенные полотенцем волосы по всей длине, уделяя особое внимание кончикам. Не смывать. Избегать попадания в глаза. При попадании промыть водой.<br>
<br>
Состав: Aqua, Cyclopentasiloxane, PVP, Glyceryl Stearate, Ceteareth-20, Ceteareth-12, Cetearyl Alcohol, Cetyl Palmitate, Dimethiconol, PEG-40 Hydrogenated Castor Oil, Sorbitol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydrolyzed Keratin, Panthenol, Niacinamide, Disodium EDTA, Sodium Hydroxide, Parfum, Pantolactone, Phenoxyethanol, Methylparaben, Ethylparaben, Propylparaben.<br>";"HEAD & SHOULDERS Шампунь 2 в 1 Гладкие и шелковистые 200 мл;LONDA крем-краска для волос стойкая Сандал 11/6;DOVE крем-гель для душа Объятия нежности Сливочная Ваниль и Пион 250 мл";"IKEEP! Мочалка для тела Роза;МОЯ ПРЕЛЕСТЬ пена для ванн Космическая слива цветная для детей 500 мл;LE PETIT MARSEILLAIS Гель для душа Белый персик и нектарин 250 мл";1
"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры;
Новинки";"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";570287;135;169;"STUDIO сверкающие кристаллы Color Perfection для гладкости и блеска волос 100 мл";"(характеристики товара (Косметика и уход))Тип товара:Сыворотка для волос;
(характеристики товара (Косметика и уход))Бренд:STUDIO;
(характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(характеристики товара (Косметика и уход))EAN:4690494039196;
(характеристики товара (Косметика и уход))Объем:100 мл;
(характеристики товара (Косметика и уход))Код товара:CB-00047304";"STUDIO";"/storage/photo/original/g/studio-sverkayushie-kristalli-color-perfection-dlya-gladkosti-i-bleska-volos-100-ml.jpg";"Мультифункциональное средство для ухода за сухими и поврежденными волосами. Инновационный комплекс GLOSS EFFECT мгновенно разглаживает сухие и поврежденные волосы. Заполняет и запечатывает поврежденные внутренние участки и поверхность волоса, предотвращает разрушение белковых связей. Уплотняет структуру, восстанавливает прочность волос, защищая от агрессивного воздействия окружающей среды. Придает зеркальный блеск, снимает статику, облегчает расчесывание.<br>
Сохраняет яркость цвета окрашенных волос даже на кончиках. Идеально для применения в течения дня для придания лоска и блеска волосам без утяжеления.<br>
<br>
Способ применения: Нажмите на дозатор. Распределите средство между ладоней (регулируйте количество в зависимости от длины и своего типа волос). Нанесите на сухие или подсушенные полотенцем волосы по всей длине, уделяя особое внимание кончикам. Не смывать. Избегать попадания в глаза. При попадании промыть водой.<br>
<br>
Состав: Cyclopentasiloxane, Dimethiconol, Parfum, Benzyl Salicylate.<br>
<br>";"IKEEP! Мочалка для тела Роза;МОЯ ПРЕЛЕСТЬ пена для ванн Космическая слива цветная для детей 500 мл;LE PETIT MARSEILLAIS Гель для душа Белый персик и нектарин 250 мл";"IKEEP! губка для тела Talia;LE PETIT MARSEILLAIS шампунь Яблоко и олива 250 мл;DOVE крем-гель для душа Наслаждение и Уход 250 мл";1
"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры;
Новинки";"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";570288;135;169;"STUDIO разглаживающий спрей Color Perfection с термозащитой 200 мл";"(характеристики товара (Косметика и уход))Тип товара:Спрей для волос;
(характеристики товара (Косметика и уход))Бренд:STUDIO;
(характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(характеристики товара (Косметика и уход))EAN:4690494039158;
(характеристики товара (Косметика и уход))Объем:200 мл;
(характеристики товара (Косметика и уход))Код товара:CB-00047301";"STUDIO";"/storage/photo/original/g/studio-razglazhivayushij-sprej-color-perfection-s-termozashitoj-200-ml.jpg";"Комплекс FRIZZ CONTROL обеспечивает идеальное выпрямление волос и максимальную защиту от температурного воздействия. Облегчает укладку, улучшая скольжение по волосам щипцов и брашинга. Сохраняет надолго эффект выпрямленных волос даже при высокой влажности. Поддерживает оптимальный гидробаланс, делает волосы эластичными и послушными. Образует защитную пленку на поверхности волоса. Снимает статику, придает блеск, улучшает расчесывание. <br>
<br>
Активные компоненты: пантенол, хитозан, органическое касторовое масло.<br>
<br>
Способ применения: Хорошо встряхните флакон, распылите на влажные или сухие волосы по всей длине, расчешите, приступите к укладке. Не смывать. Избегать попадания в глаза. При попадании промыть водой.<br>
<br>
Состав: Aqua, Bis-Cetearyl Amodimethicone, Ceteareth-7, Ceteareth-25, PEG-40 Hydrogenated Castor Oil, Trimethyl Glycine, VP/VA Copolymer, Chitosan, Panthenol, Disodium EDTA, Parfum, Citric Acid, Pantolactone, Methylchlоroisothiazolinone, Мethylisothiazolinone.<br>
<br>";"IKEEP! губка для тела Talia;LE PETIT MARSEILLAIS шампунь Яблоко и олива 250 мл;DOVE крем-гель для душа Наслаждение и Уход 250 мл";"BIONI пена детская Мягкая для купания перед сном 250 мл;FRUCTIS шампунь Годжи Стойкий Цвет укрепляющий 250 мл;NATURA SIBERICA пена для ванн Кедровое SPA антистресс 550 мл";1
"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры;
Новинки";"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";570289;135;169;"STUDIO спрей-объем Volume Up для прикорневой зоны 200 мл";"(характеристики товара (Косметика и уход))Тип товара:Спрей для волос;
(характеристики товара (Косметика и уход))Бренд:STUDIO;
(характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(характеристики товара (Косметика и уход))EAN:4690494039141;
(характеристики товара (Косметика и уход))Объем:200 мл;
(характеристики товара (Косметика и уход))Код товара:CB-00047306";"STUDIO";"/storage/photo/original/g/studio-sprej-obem-volume-up-dlya-prikornevoj-zoni-200-ml.jpg";"Сочетает в себе активный уход и легкий стайлинговый эффект, придает объем и фиксирует, не склеивая. Укрепляет волосы по всей длине, делает их плотными и эластичными. Создает экстра объем в прикорневой зоне и до самых кончиков. Возвращает волосам красоту и блеск. Не утяжеляет волосы в течение всего дня. Активные компоненты: пантенол, витамин РР, витамин С, органическое касторовое масло.<br>
<br>
Способ применения: Хорошо встряхните флакон, распылите на влажные или сухие волосы по всей длине, расчешите, приступите к укладке. Не смывать. Избегать попадания в глаза. При попадании промыть водой.<br>
<br>
Состав: Aqua, PEG-40 Hydrogenated Castor Oil, Propylene Glycol, PVP, Bis-Cetearyl Amodimethicone, Ceteareth-7, Ceteareth-25, Betaine (Trimethyl Glycine), Silicone Quaternium-18, Trideceth-6, Trideceth-12, Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein, Panthenol, Cetrimonium Chloride, Disodium EDTA, Citric Acid, Parfum, Pantolactone, Methylchlоroisothiazolinone, Мethylisothiazolinone.<br>
<br>";"BIONI пена детская Мягкая для купания перед сном 250 мл;FRUCTIS шампунь Годжи Стойкий Цвет укрепляющий 250 мл;NATURA SIBERICA пена для ванн Кедровое SPA антистресс 550 мл";"ПРЕЛЕСТЬ шампунь Увлажнение и защита 600 мл;NATURA SIBERICA пена для ванн Кедровое SPA антистресс 550 мл;ГАДКИЙ Я гель для душа Тропический микс 250 мл";1
"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры;
Новинки";"Косметика и Уход/Уход за волосами/Масла, сыворотки и элексиры";570290;135;169;"STUDIO гидрофильный спрей-блеск Color Perfection с термозащитой 200 мл";"(характеристики товара (Косметика и уход))Тип товара:Спрей для волос;
(характеристики товара (Косметика и уход))Бренд:STUDIO;
(характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(характеристики товара (Косметика и уход))EAN:4690494039172;
(характеристики товара (Косметика и уход))Объем:200 мл;
(характеристики товара (Косметика и уход))Код товара:CB-00047371";"STUDIO";"/storage/photo/original/g/studio-gidrofilnij-sprej-blesk-color-perfection-s-termozashitoj-200-ml.jpg";"Совершенная формула комплекса THERMAL PROTECTOR обеспечивает безупречную защиту волос при сушке феном, термоукладке (утюжки и щипцы для завивки), а также при пребывании на солнце. Повышает иммунитет волос к негативному воздействию высоких температур. Предотвращает появление секущихся кончиков. Нормализует гидробаланс, восполняет недостаток влаги в волосах. Обеспечивает мгновенную гладкость и зеркальный блеск. <br>
<br>
Активные компоненты: пантенол, протеины пшеницы, органическое касторовое масло.<br>
<br>
Способ применения: Хорошо встряхните флакон, распылите на влажные или сухие волосы по всей длине, расчешите, приступите к укладке. Не смывать. Избегать попадания в глаза. При попадании промыть водой.<br>
<br>
Состав: Aqua, PEG-40 Hydrogenated Castor Oil, Propylene Glycol, PVP, Bis-Cetearyl Amodimethicone, Ceteareth-7, Ceteareth-25, Betaine (Trimethyl Glycine), Silicone Quaternium-18, Trideceth-6, Trideceth-12, Laurdimonium Hydroxypropyl Hydrolyzed Wheat Protein, Panthenol, Cetrimonium Chloride, Disodium EDTA, Citric Acid, Parfum, Pantolactone, Methylchlоroisothiazolinone, Мethylisothiazolinone.<br>";"ПРЕЛЕСТЬ шампунь Увлажнение и защита 600 мл;NATURA SIBERICA пена для ванн Кедровое SPA антистресс 550 мл;ГАДКИЙ Я гель для душа Тропический микс 250 мл";"LINDA PROFESSIONAL гель-бустер для душа Thermal Spa антиоксидантный  300 мл;WELLATON крем-краска для волос стойкая Золотой песок 11/7;SYOSS бальзам-ополаскиватель Full Hair 5 Густота и Объем 500 мл";1
"Косметика и Уход/Уход за волосами/Средства для укладки и моделирования;
Новинки";"Косметика и Уход/Уход за волосами/Средства для укладки и моделирования";570291;334;418;"WELLAFLEX набор лак для волос Для Чувствительной Кожи Головы сильной фиксации 250 мл + Мусс для укладки";"(характеристики товара (Косметика и уход))Тип товара:Лаки для укладки;
(характеристики товара (Косметика и уход))Бренд:WELLAFLEX;
(характеристики товара (Косметика и уход))Для кого:Для женщин;
(характеристики товара (Косметика и уход))Страна происхождения:ГЕРМАНИЯ;
(характеристики товара (Косметика и уход))EAN:3614226786760;
(характеристики товара (Косметика и уход))Количество:1 компл;
(характеристики товара (Косметика и уход))Код товара:CB-00039903";"WELLAFLEX";"/storage/photo/original/g/wellaflex-nabor-lak-dlya-volos-dlya-chuvstvitelnoj-kozhi-golovi-silnoj-fiksacii-250-ml-muss-dlya-ukladki.jpg";"<br><p>Набор средств для укладки волос, для чувствительной кожи головы.В набор входит лак для укладки и мусс.Технология FlexActive сильной фиксации придает вашим волосам 3 признака естественной и упругой укладки.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Сохраняет естественный вид</li><li>Сохраняет подвижность волос без склеивания</li><li>Обеспечивает сильную фиксацию на срок до 24 часов</li><li>Не содержит отдушек и не раздражает кожу головы</li>";"LINDA PROFESSIONAL гель-бустер для душа Thermal Spa антиоксидантный  300 мл;WELLATON крем-краска для волос стойкая Золотой песок 11/7;SYOSS бальзам-ополаскиватель Full Hair 5 Густота и Объем 500 мл";"HEAD & SHOULDERS Шампунь 2 в 1 Гладкие и шелковистые 200 мл;LONDA крем-краска для волос стойкая Сандал 11/6;DOVE крем-гель для душа Объятия нежности Сливочная Ваниль и Пион 250 мл";1
