"Сопутствующие товары";"Похожие товары";"Показывать товар";"Категории";"Минимум";"Основная категория";"Артикул";"Короткое название";"Характеристики";"Бренд";"Цена_Трансазия";"Цена_Розничная";"Фотографии";"Описание товара"
"МОЯ ПРЕЛЕСТЬ гигиеническая помада Чудо-вишенка для детей 1 шт;LOREAL Пудра Alliance Perfect Совершенное слияние D3 Светло-бежевый золотистый;MAYBELLINE губная помада Hydra Extreme 175 мисс нежность";"LOREAL жидкая губная помада Infaillible Lip Paint Lacquer 101 Идеальный нюд;LOREAL пудра Infaillible 123 теплый ванильный;LOREAL тушь для ресниц Volumissime Gold черная 8 мл";1;"Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;
Новинки";;"Косметика и Уход/Макияж/Губная помада, блеск, контур для губ";570269;"MAYBELLINE губная помада Color Sensational Vivid Matte 20 Коралловый поцелуй";"(Характеристики товара (Косметика и уход))Тип товара:Губная помада;
(Характеристики товара (Косметика и уход))Бренд:MAYBELLINE;
(Характеристики товара (Косметика и уход))Серия:Sensational ;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Франция;
(Характеристики товара (Косметика и уход))EAN:3600531322304;
(Характеристики товара (Косметика и уход))Вес:8 г;
(Характеристики товара (Косметика и уход))Код товара:CB-00048521";"MAYBELLINE";431;539;"/storage/photo/original/e/maybelline-gubnaya-pomada-color-sensational-vivid-matte-20-korallovij-poceluj.png";"<p>
Чистейшие природные пигменты придают губам соблазнительный насыщенный цвет. Жидкая матовая губная помада. Чувственные и яркие: совершенные оттенки для твоей соблазнительной улыбки. Жидкая матовая помада от Мэйбеллин Нью-Йорк не просто окрашивает губы в роскошные цвета, но и ухаживает за кожей, смягчает и увлажняет губы в течение всего дня.</p>
<br>
Состав:
Dimethicone, bis-diglyceryl polyacyladipate-2, diisostearyl malate, dimethicone crosspolymer, hydrogenated poly- isobutene, phenyl trimethicone, kaolin, hdi/trimethylol hexyllactone cross- polymer, isostearyl isostearate, poly- ethylene, vinyl dimethicone/ methicone silsesquioxane crosspolymer, nylon-12, pentylene glycol, alumina, caprylyl glycol, ethylhexylglycerin, silica, synthetic fluorphlogopite, penta- erythrityl tetra-di-t-butyl hydroxy- hydrocinnamate, calcium sodium borosilicate, alpha-isomethyl ionone, calcium aluminum borosilicate, magnesium silicate, aluminum hydroxide, tin oxide, tocopherol, parfum/fragrance [+/- may contain: mica, ci 45410/red 28 lake, ci 77891/titanium dioxide, ci 77491, ci 77492, ci 77499/iron oxides, ci 45380/red 22 lake, ci 15850/red 7, ci 15985/yellow 6 lake, ci 19140/yellow 5 lake, ci 42090/blue 1 lake, ci 75470/carmine].
<br>"
"Я САМАЯ средство для снятия лака Professional с помпой дозатором 150 мл;DOVE лосьон для тела Масло Авокадо и экстракт календулы Пробуждающий 250 мл;GARNIER молочко для тела Овсяное Успокаивающее 250 мл";"DESSANGE шампунь Экстра Блеск 250 мл;SCHAUMA бальзам-ополаскиватель 6 Уровней Восстановления 200 мл;СОЛНЦЕ И ЛУНА средство для купания 2-в-1 Пони для девочек 200 мл";1;"Косметика и Уход/Уход за руками/Кремы для рук;
Новинки";;"Косметика и Уход/Уход за руками/Кремы для рук";570281;"DOVE крем для рук Матча чай и экстракт сакуры 75 мл";"(Характеристики товара (Косметика и уход))Тип товара:Для рук;
(Характеристики товара (Косметика и уход))Бренд:DOVE;
(Характеристики товара (Косметика и уход))Для кого:Для взрослых;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:8714100792803;
(Характеристики товара (Косметика и уход))Объем:75 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00046824";"DOVE";139;174;"/storage/photo/original/e/dove-krem-dlya-ruk-matcha-chaj-i-ekstrakt-sakuri-75-ml.png";"<p>
Пробудите свою кожу с кремом для рук Dove. Формула с матча чаем помогает восстановить кожу и наполнить ее энергией, а легкий аромат крема поднимет настроение и придаст бодрость. Регулярное применение даст отличный результат, а именно, мягкая и прекрасно увлажненная кожа в течение всего дня.</p>
<br>"
"DESSANGE шампунь Экстра Блеск 250 мл;SCHAUMA бальзам-ополаскиватель 6 Уровней Восстановления 200 мл;СОЛНЦЕ И ЛУНА средство для купания 2-в-1 Пони для девочек 200 мл";;1;"Средства гигиены/Душ и ванная/Гели для душа;
Новинки";;"Средства гигиены/Душ и ванная/Гели для душа";380202;"BARNANGEN крем-гель для душа Питательный для сухой кожи 400 мл";"(Характеристики товара (Средства гигиены))Тип товара:Гель для душа;
(Характеристики товара (Средства гигиены))Бренд:BARNANGEN;
(Характеристики товара (Средства гигиены))Страна происхождения:Словения;
(Характеристики товара (Средства гигиены))EAN:42271505;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00048329";"BARNANGEN";131;164;"/storage/photo/original/e/barnangen-krem-gel-dlya-dusha-pitatelnij-dlya-suhoj-kozhi-400-ml.png";"<p>
Любимая в Лапландии дикая ягода Морошка и защищающий 7 % Колд Крем бережно объединены в особую формулу, которая питает сухую и очень сухую кожу для длительного увлажнения. Дерматологически протестировано.</p>
<br>
Состав:
Aqua · Sodium Laureth Sulfate · Cocamidopropyl Betaine · Acrylates Copolymer · Glycerin · Parfum · PEG-120 Methyl Glucose Dioleate · Helianthus Annuus Seed Oil · Butyrospermum Parkii Butter Extract · Chamomilla Recutita Flower Extract · Vaccinium Macrocarpon Seed Oil · Rubus Chamaemorus Fruit Extract · Polyquaternium-10 · Sorbitol · Allantoin · Ricinus Communis Seed Oil · Xanthan Gum · PEG-7 Glyceryl Cocoate · PEG-40 Hydrogenated Castor Oil · PEG-60 Hydrogenated Castor Oil · Styrene/Acrylates Copolymer · Sodium Chloride · Sodium Hydroxide · Citric Acid · Sodium Benzoate · Sodium Salicylate
<br>"
"DIADEMINE крем для лица LIFT+ Разглаживание морщин дневной 50 мл;БАРХАТНЫЕ РУЧКИ крем для рук Гармония Арганы 80 мл;LOREAL скраб для лица Сахарный Очищающий 50 мл";"HEAD & SHOULDERS Шампунь Ментол 90 мл;NATURA SIBERICA пена для ванн Кедровое SPA антистресс 550 мл;IKEEP! Мочалка для тела Сфера";1;"Косметика и Уход/Уход за телом/Увлажнение и питание;
Новинки";;"Косметика и Уход/Уход за телом/Увлажнение и питание";570282;"BARNANGEN лосьон для тела Nutritive Питательный для сухой кожи  400 мл";"(Характеристики товара (Косметика и уход))Тип товара:Для тела;
(Характеристики товара (Косметика и уход))Бренд:BARNANGEN;
(Характеристики товара (Косметика и уход))Серия:Nutritive;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:ГЕРМАНИЯ;
(Характеристики товара (Косметика и уход))EAN:46217714;
(Характеристики товара (Косметика и уход))Объем:400 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00048330";"BARNANGEN";131;164;"/storage/photo/original/e/barnangen-loson-dlya-tela-nutritive-pitatelnij-dlya-suhoj-kozhi-400-ml.png";"<p>
Любимая в Лапландии дикая ягода Морошка и защищающий 7 % Колд Крем бережно объединены в особую формулу, которая питает сухую и очень сухую кожу для длительного увлажнения. Дерматологически протестировано.</p>
<br>"
"DOVE лосьон для тела Сияние лета 250 мл;BARNÄNGEN Бальзам для тела Интенсивный Уход для очень сухой кожи 200мл;ЛАБОРАТОРИЯ ПРИРОДЫ крем для ног Каштановый 100 мл";"OIL ULTIME скраб для волос Oil-in-Scrub Масляный 250 мл;FA гель для душа Энергия&Витамины Розовый Грейпфрут 750 мл;WELLATON крем-краска для волос стойкая Экзотический красный 55/46";1;"Косметика и Уход/Уход за ногами/Пластыри, антиперспиранты, защита от мозолей;
Новинки";;"Косметика и Уход/Уход за ногами/Пластыри, антиперспиранты, защита от мозолей";570280;"SCHOLL гелевые подушечки Невидимые ослабляющие болезненные ощущения и дискомфорт для обуви";"(Характеристики товара (Косметика и уход))Тип товара:Для обуви;
(Характеристики товара (Косметика и уход))Бренд:SCHOLL;
(Характеристики товара (Косметика и уход))Для кого:Для взрослых, Для женщин, Для мужчин;
(Характеристики товара (Косметика и уход))Страна происхождения:Индия;
(Характеристики товара (Косметика и уход))EAN:5038483224168;
(Характеристики товара (Косметика и уход))Количество:1 шт;
(Характеристики товара (Косметика и уход))Код товара:CB-00048497";"SCHOLL";309;386;"/storage/photo/original/e/scholl-gelevie-podushechki-nevidimie-oslablyayushie-boleznennie-oshusheniya-i-diskomfort-dlya-obuvi.png";"<p>
Невидимые  гелевые подушечки SCHOLL ослабляют болезненные ощущения и дискомфорт, защищают от натирания наиболее уязвимые участки стопы. Надежно фиксируются в обуви. Прозрачные и незаметные. Многоразовые, моющиеся.</p>
<br>"
"DURU подарочный набор Natures Treasures кремы для рук 3 шт;GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;ПРЕЛЕСТЬ подарочный набор Эффект памяти Лак для волос 300 мл + Мусс для волос 160 мл + резинка для волос 2 шт";"DOVE лосьон для тела Сияние лета 250 мл;BARNÄNGEN Бальзам для тела Интенсивный Уход для очень сухой кожи 200мл;ЛАБОРАТОРИЯ ПРИРОДЫ крем для ног Каштановый 100 мл";1;"Косметика и Уход/Подарочные наборы/Для мужчин;
Новинки";;"Косметика и Уход/Подарочные наборы/Для мужчин";570276;"ARKO подарочный набор Black&White Гель для бритья 2в1 Black 200 мл +  Гель для бритья Sensitive 200 мл";"(Характеристики товара (Косметика и уход))Тип товара:Подарочный набор;
(Характеристики товара (Косметика и уход))Бренд:ARKO;
(Характеристики товара (Косметика и уход))Серия:Black&White;
(Характеристики товара (Косметика и уход))Для кого:Для мужчин;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:8690506491703;
(Характеристики товара (Косметика и уход))Количество:1 компл;
(Характеристики товара (Косметика и уход))Код товара:CB-00041599";"ARKO";389;486;"/storage/photo/original/e/arko-podarochnij-nabor-blackwhite-gel-dlya-britya-2v1-black-200-ml-gel-dlya-britya-sensitive-200-ml.png";"<p>Подарочный набор для настоящих мужчин Black&White от ARKO включает в себя гель для бритья 2в1 Black первый в истории ARKO Men черный гель, обладает свойствами 2в1 и подходит как для бритья, так и для умывания. Благодаря своей специальной формуле с активированным углем, гель ARKO Men BLACK обеспечивает комфортное бритье, очищение и необходимый уход за мужской кожей. И гель для бритья ARKO Men Sensitive «Для чувствительной кожи» уменьшает риск раздражения и жжения кожи благодаря формуле с алоэ вера и маслом лаванды.
</p>
<br>
Особенности Продукта:
<br>
<li>
Подарочный набор для мужчин
<li>
Облегчает процесс бритья
<li>
Очищение и уход
<li>
Для чувствительной кожи
<br>"
"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;AXE подарочный набор Signature аэрозольный антиперспирант Защита от пятен 150 мл + Гель для душа 2в1 Гладкое очищение 250 мл + Спрей-парфюм 100 мл;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл";"DIADEMINE крем для лица LIFT+ Разглаживание морщин дневной 50 мл;БАРХАТНЫЕ РУЧКИ крем для рук Гармония Арганы 80 мл;LOREAL скраб для лица Сахарный Очищающий 50 мл";1;"Косметика и Уход/Подарочные наборы/Для женщин;
Новинки";;"Косметика и Уход/Подарочные наборы/Для женщин";570278;"LOREAL подарочный набор тушь для ресниц Paradise + средство для снятия макияжа 125 мл";"(Характеристики товара (Косметика и уход))Тип товара:Подарочный набор;
(Характеристики товара (Косметика и уход))Бренд:LOREAL;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4690214390576;
(Характеристики товара (Косметика и уход))Количество:1 компл;
(Характеристики товара (Косметика и уход))Код товара:CB-00041743";"LOREAL";493;616;"/storage/photo/original/e/loreal-podarochnij-nabor-tush-dlya-resnic-paradise-sredstvo-dlya-snyatiya-makiyazha-125-ml.png";"<p>
В состав набора входит тушь для ресниц Paradise Extatic Объем и подкручивание с касторовым маслом Черная и средство для снятия макияжа. Тушь для ресниц Paradise Extatic роскошный объем, выразительно длинные ресницы и самое чувственное нанесение. Создай рай для своих ресниц! Насыщенная формула с касторовым маслом для преображения ресниц. Инновационная щеточка с ультрамягкими щетинками. Средство для снятия макияжа с глаз на основе инновационной формулы с аллантоином для бережного снятия макияжа и комфорта кожи вокруг глаз. Обладает успокаивающими свойствами, подходит для чувствительных глаз.</p>
<br>"
"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл";"Я САМАЯ средство для снятия лака Professional с помпой дозатором 150 мл;DOVE лосьон для тела Масло Авокадо и экстракт календулы Пробуждающий 250 мл;GARNIER молочко для тела Овсяное Успокаивающее 250 мл";1;"Косметика и Уход/Подарочные наборы/Для женщин;
Новинки";;"Косметика и Уход/Подарочные наборы/Для женщин";570277;"GLISS KUR подарочный набор Магическое укрепление шампунь 250 мл + бальзам-ополаскиватель 200 мл";"(Характеристики товара (Косметика и уход))Тип товара:Подарочный набор;
(Характеристики товара (Косметика и уход))Бренд: GLISS KUR;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4015100298444;
(Характеристики товара (Косметика и уход))Количество:1 компл;
(Характеристики товара (Косметика и уход))Код товара:CB-00045789";"GLISS KUR";243;304;"/storage/photo/original/e/gliss-kur-podarochnij-nabor-magicheskoe-ukreplenie-shampun-250-ml-balzam-opolaskivatel-200-ml.png";"<p>
Подарочный набор от GLISS KUR Магическое укрепление разработан специально для ухода за ослабленными и истощенными волосами. Тройное действие формулы основано на трех протеинах, которые проникают в проблемные участки и мгновенно укрепляют их по всей длине. Протеин-это уникальный компонент, который преодолевает слои дермы и сохраняет живительную влагу в структуре локонов, бережно обволакивает тончайшей защитной плёнкой, делает волосы неуязвимыми перед агрессивными средствами укладки и солнечным ультрафиолетом. В результате волосы становятся сильнее и более устойчивыми к повреждениям.</p>
<br>
Особенности Продукта:
<br>
<li>
Для ослабленных и истощенных волос
<li>
Мгновенное укрепление
<li>
Придает здоровый блеск и сияние
<li>
Защита от повреждений"
"GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл;GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл";;1;"Косметика и Уход/Подарочные наборы/Для женщин;
Новинки";;"Косметика и Уход/Подарочные наборы/Для женщин";570279;"FA подарочный набор Гель для душа Кокосовая вода 250 мл + мыло туалетное 2 шт";"(Характеристики товара (Косметика и уход))Тип товара:Подарочный набор;
(Характеристики товара (Косметика и уход))Бренд:FA;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4015100216806;
(Характеристики товара (Косметика и уход))Количество:1 компл;
(Характеристики товара (Косметика и уход))Код товара:CB-00039381";"FA";247;309;"/storage/photo/original/e/fa-podarochnij-nabor-gel-dlya-dusha-kokosovaya-voda-250-ml-milo-tualetnoe-2-sht.png";"<p>
Серия средств по уходу за кожей Fa Кокосовая вода содержит натуральный экстракт кокоса, который известен своими увлажняющими, питающими и смягчающими свойствами, содержит большое количество витаминов и способствует регенерации кожи, а тропический аромат дарит летнее настроение, которого так не хватает в холода!  Гель для душа Fa Кокосовая вода заботится о коже, увлажняя и освежая её. Формула с натуральным экстрактом кокоса защищает кожу от пересушивания и дарит длительное ощущение мягкости.  Туалетное мыло Fa Кокосовая вода с экстрактом кокоса нежно ухаживает за кожей, очищает и дарит незабываемый аромат белой гардении.</p>
<br>"
"HEAD & SHOULDERS Шампунь Ментол 90 мл;NATURA SIBERICA пена для ванн Кедровое SPA антистресс 550 мл;IKEEP! Мочалка для тела Сфера";;1;"Средства гигиены/Душ и ванная/Гели для душа;
Новинки";;"Средства гигиены/Душ и ванная/Гели для душа";380203;"FA гель для душа  Frozen Yoghurt Аромат ореха макадамии 250 мл";"(Характеристики товара (Средства гигиены))Тип товара:Гель для душа;
(Характеристики товара (Средства гигиены))Бренд:FA;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:4015100180534;
(Характеристики товара (Средства гигиены))Объем:250 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00048493";"FA";60;75;"/storage/photo/original/e/fa-gel-dlya-dusha-frozen-yoghurt-aromat-oreha-makadamii-250-ml.png";"<p>
Откройте для себя неповторимые ощущения с феи гелем для душа Fa Frozen Yoghurt. Освежающий крем-гель с протеинами йогурта и ароматом Ореха Макадамия поддерживает естественный баланс кожи. Легкая кремовая текстура геля превращается ее воздушную пеку и дарит Вашей коже приятный аромат, ощущение мягкости и свежести pH нейтральный. Хорошая переносимость кожей подтверждена дерматологами.</p>
<br>"
"LOREAL жидкая губная помада Infaillible Lip Paint Lacquer 101 Идеальный нюд;LOREAL пудра Infaillible 123 теплый ванильный;LOREAL тушь для ресниц Volumissime Gold черная 8 мл";"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл";1;"Косметика и Уход/Макияж/Карандаши и подводка для глаз и бровей;
Новинки";;"Косметика и Уход/Макияж/Карандаши и подводка для глаз и бровей";570273;"MAYBELLINE тушь для бровей Precise Fiber 05 Коричневый";"(Характеристики товара (Косметика и уход))Тип товара:Тушь для бровей;
(Характеристики товара (Косметика и уход))Бренд:MAYBELLINE;
(Характеристики товара (Косметика и уход))Серия:Precise Fiber;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Италия;
(Характеристики товара (Косметика и уход))EAN:3600531355463;
(Характеристики товара (Косметика и уход))Количество:1 шт;
(Характеристики товара (Косметика и уход))Код товара:CB-00019894";"MAYBELLINE";386;482;"/storage/photo/original/e/maybelline-tush-dlya-brovej-precise-fiber-05-korichnevij.png";"<p>
Первая тушь для бровей с микроволокнами для объемных и густых бровей. Благодаря щеточке с микроволокнами тушь заполняет пробелы и создает 3D-объем. Гелевая формула придает густоту бровям и равномерно окрашивает волоски. Для наилучшего результата: Начни прокрашивать бровь снизу вверх до изгиба брови, а затем проведи щеточкой в сторону по направлению к кончику. Твои брови объемные и густые, как никогда!</p>
<br>"
"LOREAL консилер-хайлайтер True Match Touch Magique 3,5N natural beige;MAYBELLINE помада для губ Color Sensational Matte Матовое искушение 988 Темный каштан;LOREAL пудра Infaillible 123 теплый ванильный";"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;AXE подарочный набор Signature аэрозольный антиперспирант Защита от пятен 150 мл + Гель для душа 2в1 Гладкое очищение 250 мл + Спрей-парфюм 100 мл;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл";1;"Косметика и Уход/Макияж/Тон и основа под макияж;
Новинки";;"Косметика и Уход/Макияж/Тон и основа под макияж";570274;"MAYBELLINE тональный крем Super Stay 24 H оттенок 30 золотисто-бежевый 300 мл";"(Характеристики товара (Косметика и уход))Тип товара:Тональный крем;
(Характеристики товара (Косметика и уход))Бренд:MAYBELLINE;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Франция;
(Характеристики товара (Косметика и уход))EAN:3600531273880;
(Характеристики товара (Косметика и уход))Объем:30 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00014843";"MAYBELLINE";462;578;"/storage/photo/original/e/maybelline-tonalnij-krem-super-stay-24-h-ottenok-30-zolotisto-bezhevij-300-ml.png";"<p>
Тональный крем для лица со стойкостью 24 часа и плотным покрытием благодаря концентрированным пигментам. Благодаря технологии Микро-флекс и """"пигментам свежести"""" новый тональный крем выдерживает прикосновения рук, телефонные звонки и непогоду. Суперстойкое покрытие, которое остается безупречным весь день. Данный оттенок подходит светлой коже с нейтральным подтоном.</p>
<br>
Состав:
