"Короткое название";"Артикул";"Описание товара";"Фотографии"
"TORK Xpress® диспенсер для полотенец сложения Multifold";"471103 TORK";"Мягкие листовые полотенца Tork Xpress® Universal сложения Multifold удовлетворяют базовые потребности в сушке рук и гарантируют отличное соотношение цены и качества. Эти полотенца подходят для диспенсеров для листовых полотенец Tork Xpress® сложения Multifold, устанавливаемых в туалетных комнатах со средней посещаемостью. Для установки диспенсера не требуется много места, он обеспечивает вашим гостям комфорт и высокий уровень гигиены.</span>
</p>
<ul><li>Полотенце с отличным соотношением цены и качества для удовлетворения базовых потребностей</li><li>Уникальная упаковка Tork Polypack: Полотенца можно отбирать прямо из упаковки</li><li>Сложение Multifold обеспечивает полистовой отбор для снижения расхода и повышения уровня гигиены</li><li>Привлекательный декор в форме листа Tork: обеспечивает не только более привлекательный внешний вид продукции, но и большую мягкость</li><li>Упаковки Tork Easy Handling™ легче переносить, открывать и утилизировать</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>Н2 - Полотенца сложения  Multifold</td></tr><tr>Длина листа<td>23.4 cm</td></tr><tr>Ширина листа<td>21.3 cm</td></tr><tr>Длина сложенного листа<td>7.8 cm</td></tr><tr>Ширина сложенного листа<td>21.3 cm</td></tr>
<tr>Слойность<td>2</td></tr><tr>Цвет тиснения<td>Нет</td></tr><tr>Тиснение<td>Да</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tork-xpress-dispenser-dlya-polotenec-slozheniya-multifold.jpg;
/storage/photo/original/c/tork-xpress-dispenser-dlya-polotenec-slozheniya-multifold.png"
"TORK мини-диспенсер для листовых полотенец Singlefold сложения ZZ и C";"553100 TORK";"Универсальный классический диспенсер для туалетных комнат со средней проходимостью. Предназначен для использования с бумажными полотенцами, сложенными зигзагом. Диспенсеры серии Tork Elevation — это уникальное сочетание дизайна и функциональности, лучшие в своем классе диспенсеры на каждый день.</span>
</p>

<ul><li>Ультратонкий диспенсер обеспечивает гигиеничный поштучный отбор полотенец</li><li> Большое смотровое окошко позволяет контролировать наличие полотенец</li><li> Диспенсер возможно дозаправить в любое время</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>H3 - Полотенца сложения ZZ и С</td></tr><tr>Материал<td>Пластик</td></tr><tr>Высота<td>291 mm</td></tr>
<tr>Ширина<td>332 mm</td></tr><tr>Глубина<td>135 mm</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tork-mini-dispenser-dlya-listovih-polotenec-singlefold-slozheniya-zz-i-c.jpg;
/storage/photo/original/c/tork-mini-dispenser-dlya-listovih-polotenec-singlefold-slozheniya-zz-i-c.png;
/storage/photo/original/c/tork-mini-dispenser-dlya-listovih-polotenec-singlefold-slozheniya-zz-i-c_1.png;
/storage/photo/original/c/tork-mini-dispenser-dlya-listovih-polotenec-singlefold-slozheniya-zz-i-c_2.png"
"Листовые полотенца TORK сложения Singlefold";"290184 TORK";"Листовые полотенца Tork Advanced сложения Singlefold удовлетворяют потребности в сушке рук и гарантируют качество в тех случаях, когда стоимость и характеристики одинаково важны. Они подходят для диспенсеров для листовых полотенец Tork сложения Singlefold, устанавливаемых в помещениях, к которым предъявляются высокие требования. Надежная полистовая подача позволяет контролировать расход и обеспечить эффективное соблюдение санитарно-гигиенических требований.</span>
</p>

<ul><li>Качество Tork Advanced идеально в тех случаях, когда стоимость и характеристики одинаково важны</li><li>Контроль расхода и высокий уровень гигиены благодаря полистовому отбору</li><li>Много полотенец в упаковке: дольше используются и реже требуют перезаправки</li><li>Привлекательный рисунок</li><li>Коробки Tork Easy Handling™ легче переносить, открывать и утилизировать</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>H3 - Полотенца сложения ZZ и С</td></tr><tr>Длина листа<td>23 cm</td></tr><tr>Ширина листа<td>23 cm</td></tr><tr>Длина сложенного листа<td>11.5 cm</td></tr><tr>Ширина сложенного листа<td>23 cm</td></tr>
<tr>Слойность<td>2</td></tr><tr>Цвет тиснения<td>Нет</td></tr><tr>Тиснение<td>Да</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/listovie-polotenca-tork-slozheniya-singlefold.jpg;
/storage/photo/original/c/listovie-polotenca-tork-slozheniya-singlefold.png"
"Листовые полотенца TORK сложения Singlefold";"120108 TORK";"Листовые полотенца для рук Tork Universal сложения Singlefold удовлетворяют базовые потребности в сушке рук и при этом существенно экономят ваши средства. Для использования в диспенсерах для листовых полотенец Tork сложения Singlefold. Диспенсеры Tork  позволяют контролировать расход и повышать уровень гигиены благодаря функции полистового отбора.</span>
</p>

<ul><li>Полотенце с отличным соотношением цены и качества для удовлетворения базовых потребностей</li><li>Контроль расхода и высокий уровень гигиены благодаря полистовому отбору</li><li>Коробки Tork Easy Handling™ легче переносить, открывать и утилизировать</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>H3 - Полотенца сложения ZZ и С</td></tr><tr>Длина листа<td>23 cm</td></tr><tr>Ширина листа<td>23 cm</td></tr><tr>Длина сложенного листа<td>11.5 cm</td></tr><tr>Ширина сложенного листа<td>23 cm</td></tr>
<tr>Слойность<td>1</td></tr><tr>Цвет тиснения<td>Нет</td></tr><tr>Тиснение<td>Да</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/listovie-polotenca-tork-slozheniya-singlefold_3.jpg;
/storage/photo/original/c/listovie-polotenca-tork-slozheniya-singlefold_4.png"
"Туалетная бумага TORK Advanced Мини в больших рулонах";"120231 TORK";"Tork диспенсер для туалетной бумаги в мини рулонах — это экономия времени и средств, а также больше туалетной бумаги по сравнению со стандартными рулонами. Двухслойная туалетная бумага Tork Advanced Мини в больших рулонах — оптимальное соотношение цены и качества, подходит для помещений со средней и высокой посещаемостью.</span>
</p>

<ul><li>Большая емкость, благодаря чему реже требуется перезаправка</li><li>Тиснение придает дополнительный объем и привлекательность</li><li>Печать в виде серого листа делает вашу туалетную комнату привлекательнее</li><li>Коробки для переноски Tork Easy Handling™ просто поднимать, переносить, открывать и сминать после использования без ножа и ножниц</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>Т2 - Туалетная бумага в рулонах Mini Jumbo</td></tr><tr>Длина рулона<td>170 m</td></tr><tr>Ширина рулона<td>9.5 cm</td></tr><tr>Диаметр рулона<td>19 cm</td></tr><tr>Количество полотенец<td>1214</td></tr><tr>Длина полотенца<td>14 cm</td></tr>
<tr>Внутренний диаметр втулки<td>5.9 cm</td></tr><tr>Слойность<td>2</td></tr><tr>Цвет тиснения<td>Нет</td></tr><tr>Тиснение<td>Да</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tualetnaya-bumaga-tork-advanced-mini-v-bolshih-rulonah.jpg;
/storage/photo/original/c/tualetnaya-bumaga-tork-advanced-mini-v-bolshih-rulonah.png"
"Туалетная бумага TORK Universal Мини в больших рулонах, 1 слой";"120197 TORK";"Tork диспенсер для туалетной бумаги в мини рулонах — это экономия времени и средств, а также больше туалетной бумаги по сравнению со стандартными рулонами. Однослойная туалетная бумага Tork в мини-рулонах удовлетворяет базовые потребности, предлагая при этом хорошее соотношение цены и качества, подходит для помещений со средней и высокой посещаемостью.</span>
</p>

<ul><li>Большая емкость, благодаря чему реже требуется перезаправка</li><li>Доступная по цене однослойная туалетная бумага с хорошим соотношением цены и качества</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>Т2 - Туалетная бумага в рулонах Mini Jumbo</td></tr><tr>Длина рулона<td>200 m</td></tr><tr>Ширина рулона<td>9.5 cm</td></tr><tr>Диаметр рулона<td>15.8 cm</td></tr><tr>Внутренний диаметр втулки<td>6 cm</td></tr>
<tr>Слойность<td>1</td></tr><tr>Цвет тиснения<td>Нет</td></tr><tr>Тиснение<td>Нет</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tualetnaya-bumaga-tork-universal-mini-v-bolshih-rulonah-1-sloj.jpg;
/storage/photo/original/c/tualetnaya-bumaga-tork-universal-mini-v-bolshih-rulonah-1-sloj.png"
"TORK SmartOne® диспенсер для туалетной бумаги в рулонах, белый";"680000 TORK";"Диспенсер для туалетной бумаги в рулонах Tork SmartOne® — современная и эффективная система, которая подходит для жестких условий эксплуатации в туалетных комнатах с высокой проходимостью. Полистовая подача помогает сократить расход бумаги до 40 % по сравнению с традиционными диспенсерами для туалетной бумаги в больших рулонах. Диспенсеры Tork серии Elevation имеют функциональный современный дизайн, который надолго оставляет у гостей приятное впечатление.</span>
</p>

<ul><li>Полистовая подача позволяет уменьшить расход бумаги на 40 %.</li><li>Гигиеничное решение, поскольку посетители касаются только полотенца, которое используют</li><li>Большая емкость диспенсера сокращает время обслуживания и гарантирует постоянное наличие бумаги</li><li>Прочный диспенсер оснащен металлическим ключом и замком, что предотвращает кражу рулонов</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>T8 - SmartOne System</td></tr><tr>Материал<td>Пластик</td></tr><tr>Высота<td>269 mm</td></tr>
<tr>Ширина<td>269 mm</td></tr><tr>Глубина<td>156 mm</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tork-smartone-dispenser-dlya-tualetnoj-bumagi-v-rulonah-belij.jpg;
/storage/photo/original/c/tork-smartone-dispenser-dlya-tualetnoj-bumagi-v-rulonah-belij.png;
/storage/photo/original/c/tork-smartone-dispenser-dlya-tualetnoj-bumagi-v-rulonah-belij_5.png;
/storage/photo/original/c/tork-smartone-dispenser-dlya-tualetnoj-bumagi-v-rulonah-belij_6.png"
"TORK SmartOne® туалетная бумага в рулонах";"472242 TORK";"Диспенсер для туалетной бумаги Tork SmartOne — уникальная система, обеспечивающая гигиеничный полистовой отбор и до 40% экономии по сравнению с традиционными большими рулонами, что означает больший срок использования рулона. Мини-рулоны Tork SmartOne высокой емкости подходят для туалетных комнат с низкой и средней посещаемостью, к которым предъявляются высокие требования, чем и определяется выбор мини-диспенсера Tork SmartOne.</span>
</p>

<ul><li>Рулон высокой емкости с полистовой подачей сокращает время обслуживания и обеспечивает постоянное наличие туалетной бумаги</li><li>Благодаря быстрому растворению и снижению расхода удается свести к минимуму риск закупорки канализационных труб</li><li>Мягкая бумага высокой степени белизны с рисунком Tork в форме листа производит хорошее впечатление на посетителей</li><li>Система удаления втулки SmartCore® гарантирует быструю и простую перезаправку</li><li>Коробки для переноски Tork Easy Handling™ прочны и удобны, снижают образование отходов</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>T8 - SmartOne System</td></tr><tr>Длина рулона<td>207 m</td></tr><tr>Ширина рулона<td>13.4 cm</td></tr><tr>Диаметр рулона<td>19.9 cm</td></tr><tr>Количество полотенец<td>1150</td></tr><tr>Длина полотенца<td>18 cm</td></tr>
<tr>Внутренний диаметр втулки<td>4.4 cm</td></tr><tr>Слойность<td>2</td></tr><tr>Цвет тиснения<td>Нет</td></tr><tr>Тиснение<td>Да</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tork-smartone-tualetnaya-bumaga-v-rulonah.jpg;
/storage/photo/original/c/tork-smartone-tualetnaya-bumaga-v-rulonah.png"
"TORK диспенсер для жидкого мыла";"560000 TORK";"Предназначен для объектов со средней и высокой проходимостью. Совместим с пятью видами мыла и одним видом мыла-спрея в одноразовых картриджах. Диспенсеры серии Tork Elevation — это уникальное сочетание дизайна и функциональности, лучшие в своем классе диспенсеры на каждый день.</span>
</p>

<ul><li>Оснащен кнопкой с плавным нажатием и одобрен Шведской ассоциацией ревматологов</li><li> Заправка картриджа занимает всего несколько секунд</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>S1 - Жидкое мыло</td></tr><tr><td>S11 - Spray soap system</td></tr><tr>Материал<td>Пластик</td></tr><tr>Высота<td>296 mm</td></tr>
<tr>Ширина<td>112 mm</td></tr><tr>Глубина<td>114 mm</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila.jpg;
/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila.png;
/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila_7.png;
/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila_8.png"
"TORK диспенсер для жидкого мыла";"560000 TORK";"Предназначен для объектов со средней и высокой проходимостью. Совместим с пятью видами мыла и одним видом мыла-спрея в одноразовых картриджах. Диспенсеры серии Tork Elevation — это уникальное сочетание дизайна и функциональности, лучшие в своем классе диспенсеры на каждый день.</span>
</p>

<ul><li>Оснащен кнопкой с плавным нажатием и одобрен Шведской ассоциацией ревматологов</li><li> Заправка картриджа занимает всего несколько секунд</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>S1 - Жидкое мыло</td></tr><tr><td>S11 - Spray soap system</td></tr><tr>Материал<td>Пластик</td></tr><tr>Высота<td>296 mm</td></tr>
<tr>Ширина<td>112 mm</td></tr><tr>Глубина<td>114 mm</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila_9.jpg;
/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila_10.png;
/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila_11.png;
/storage/photo/original/c/tork-dispenser-dlya-zhidkogo-mila_12.png"
"TORK жидкое мыло мягкое";"420501 TORK";"Герметичная система. Одноразовый дозировочный клапан исключает заражение бактериями. Картридж по мере использования сжимается, обеспеспечивя 70%-ное сокращение отходов.
Для использования в диспенсерах для жидкого мыла Tork.</span>
</p>

<ul><li>Универсальное применение: для любых туалетных комнат</li><li>Качество Premium:  содержит увлажняющие и восстанавливающие липидный слой компоненты</li><li>Дерматологически протестировано</li><li>Очищает и смягчает кожу рук</li><li>Безопасная, мягкая формула</li><li>Свежий аромат</li><li>рН 5,0</li><li>Цвет: кремовый</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>S1 - Жидкое мыло</td></tr><tr>Внешний вид<td>pearling agent</td></tr><tr>Аромат мыла<td>fresh scent</td></tr>
<tr>Объем<td>1000 ml</td></tr><tr>no_of_doses<td>≈1000</td></tr><tr>Цвет<td>кремовый</td></tr>";"/storage/photo/original/c/tork-zhidkoe-milo-myagkoe.jpg"
"TORK диспенсер для мыла-пены";"561500 TORK";"Гарантирует снижение затрат благодаря высокой емкости картриджа (2500 порций). Вы тратите меньше времени на обслуживание, вам требуется меньше места для хранения. Это автоматически снижает расходы на транспортировку и количество мусора. Продукт прост в использовании и обеспечивает высокий уровень гигиены. Диспенсеры серии Tork Elevation — это уникальное сочетание дизайна и функциональности, лучшие в своем классе диспенсеры на каждый день.</span>
</p>

<ul><li>Оснащен кнопкой с плавным нажатием и одобрен Шведской ассоциацией ревматологов</li><li> Заправка картриджа занимает всего несколько секунд</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>S4 - Жидкое Мыло-пена</td></tr><tr>Материал<td>Пластик</td></tr><tr>Высота<td>292 mm</td></tr>
<tr>Ширина<td>113 mm</td></tr><tr>Глубина<td>114 mm</td></tr><tr>Цвет<td>Белый</td></tr>";"/storage/photo/original/c/tork-dispenser-dlya-mila-peni.jpg;
/storage/photo/original/c/tork-dispenser-dlya-mila-peni.png;
/storage/photo/original/c/tork-dispenser-dlya-mila-peni_13.png;
/storage/photo/original/c/tork-dispenser-dlya-mila-peni_14.png"
"TORK мыло-пена мягкое";"520501 TORK";"Ухаживает за всеми типами кожи. Мягкое мыло-пена Tork имеет тонкий аромат, содержит увлажняющие и восстанавливающие ингредиенты и образует мягкую кремовую пену для бережного мытья рук. Подходит для диспенсеров для мыла-пены Tork. Диспенсеры Tork надежны и долговечны, ими удобно пользоваться.</span>
</p>

<ul><li>Насыщенные восстанавливающие ингредиенты увлажняют кожу</li><li>Сертифицировано в соответствии с системой EU Ecolabel, что означает высокий уровень экологической эффективности.</li><li>Заправка диспенсера занимает не более минуты. Диспенсеры оснащены клавишами с плавным нажатием, благодаря чему ими удобно пользоваться всем, даже детям</li><li>Одноразовый герметичный картридж со встроенным дозировочным клапаном обеспечивает гигиеничность использования мыла</li><li>Картридж сжимается в процессе использования, что позволяет уменьшить объем отходов</li>

 ДАННЫЕ О ПРОДУКТЕ:

<tr>Система<td>S4 - Жидкое Мыло-пена</td></tr><tr>Внешний вид<td>white foam</td></tr><tr>Аромат мыла<td>fresh scent</td></tr>
<tr>Объем<td>1000 ml</td></tr><tr>no_of_doses<td>≈2500</td></tr><tr>Цвет<td>Бесцветный</td></tr>";"/storage/photo/original/c/tork-milo-pena-myagkoe.jpg"