"Категории";"Основная категория";"Цена_Розничная";"Показывать товар";"Цена_Зачеркнутая";"Фотографии";"Бренд";"Характеристики";"Описание товара";"Короткое название";"Цена_Трансазия";"Сопутствующие товары";"Артикул";"Рекомендуемые товары"
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";2370;1;;"/storage/photo/original/d/somat-tabletki-dlya-posudomoechnoj-mashini-all-in-1-100-sht.jpg";"SOMAT";"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:SOMAT;
(Характеристики товара (Бытовая химия))Страна происхождения:Германия;
(Характеристики товара (Бытовая химия))EAN:9000101020236;
(Характеристики товара (Бытовая химия))Количество:100 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00046495";"<br><p>Откройте для себя чистящую силу таблеток Сомат. Сомат All in One Лимон и Лайм без фосфатов с добавлением соли лимонной кислоты. Забота об окружающей среде и чистота посуды без лишних усилий.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>мытье посуды</li><li>смягчение воды</li><li>защита от накипи</li><li>отсутствие разводов</li><li>придание блеска</li><li>нейтрализация неприятных запахов</li>";"SOMAT таблетки для посудомоечной машины All in 1 100 шт";1896;"VORTEX средство для мытья пола Comfort Extra щелочное 1 л;АНТИЗАСОР Средство для удаления засоров в трубах гранулы 70 г;GREEN LOVE чистящий крем Универсальный 330 г";460451;"СОЛНЦЕ И ЛУНА влажные салфетки Для Детей с экстрактом алоэ 63 шт;BAGI чистящее средство Шуманит от Известкового Налета 550 мл;ДОМИНГО салфетки целлюлозные абсорбирующие 3 шт"
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";1414;1;;"/storage/photo/original/d/somat-tabletki-dlya-posudomoechnoj-mashini-gold-36-sht.jpg";"SOMAT";"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:SOMAT;
(Характеристики товара (Бытовая химия))Страна происхождения:СЕРБИЯ;
(Характеристики товара (Бытовая химия))EAN:9000101401929;
(Характеристики товара (Бытовая химия))Количество:36 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00049043";"<br><p>Благодаря эффекту замачивания, Somat Gold без проблем удаляет такие трудные загрязнения, как пятна от чая и кофе, и обеспечивает безупречный результат даже при температуре 40 °С. Наряду с функциями соли и ополаскивателя Somat Gold также защищает стекло от коррозии и способствует более быстрому высыханию посуды. Ослепительная чистота посуды без лишних усилий благодаря лучшей формуле Somat в линейке Somat.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Очиститель - для великолепной чистоты</li><li>Быстро растворяется</li><li>Функция ополаскивателя - для сияющего блеска</li><li>Функция соли - для защиты от известкового налета</li><li>Эффективно борется с жиром</li><li>Забота о посудомоечной машине</li><li>Действует при 40°C</li><li>Блеск нержавеющей стали и столовых приборов</li><li>Способствует быстрому высыханию посуды</li><li>Эффект замачивания - устраняет засохшие остатки пищи без предварительного замачивания</li>";"SOMAT таблетки для посудомоечной машины Gold 36 шт";1131;"AOS средство для мытья посуды Фитокомплекс 7 Трав 1 л;SANITA гель Антиржавчина 500 мл;COMET Чистящий гель Океанский бриз 1 л";460452;"ЧИСТЮЛЯ губка поролоновая для ванной;AURA Влажные салфетки для детей Ultra Comfort с крышкой 120 шт;SUPRIM средство от накипи для стиральных машин 750 г"
"Бытовая химия/Чистящие средства/Средства от засоров и для септиков";"Бытовая химия/Чистящие средства/Средства от засоров и для септиков";329;1;;"/storage/photo/original/d/bagi-sredstvo-dlya-chistki-shumanit-ot-zasorov-280-g.jpg";"BAGI";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Страна происхождения:Израиль;
(Характеристики товара (Бытовая химия))EAN:7290016209341;
(Характеристики товара (Бытовая химия))Вес:280 г;
(Характеристики товара (Бытовая химия))Код товара:CB-00050156";;"BAGI Средство для чистки Шуманит от засоров 280 г";263;"ЧИСТЮЛЯ губка-нержавейка со стальной нитью Маленькая кухня;ЧИСТЮЛЯ швабра отжимная с губкой ПВА 1 ролик;BREESAL Aqua-нейтрализатор Запаха Освежающий Микс 375 мл";460453;"VILEDA салфетка-губка Веттекс Классик 18х20 см голубая 1 шт;ЧИСТЮЛЯ пакеты для мусора Стандарт 30 л 31 шт;SANFOR средство для прочистки засоров в трубах 1000 мл"
"Бытовая химия/Чистящие средства/Средства от накипи и известкового налета";"Бытовая химия/Чистящие средства/Средства от накипи и известкового налета";271;1;;"/storage/photo/original/d/bagi-sredstvo-dlya-udaleniya-nakipi-kumkumit-350-ml.jpg";"BAGI";"(Характеристики товара (Бытовая химия))Тип товара:Средство от накипи и известкового налета;
(Характеристики товара (Бытовая химия))Бренд:BAGI;
(Характеристики товара (Бытовая химия))Страна происхождения:Израиль;
(Характеристики товара (Бытовая химия))EAN:7290003395286;
(Характеристики товара (Бытовая химия))Объем:350 мл;
(Характеристики товара (Бытовая химия))Код товара:00000032282";"<p>
Высокоэффективное концентрированное средство Bagi «Кумкумит» для удаления накипи и ржавчины с водонагревательных элементов и различных поверхностей. Регулярное применение Bagi Кумкумит значительно продлевает срок службы приборов и способствует экономии электроэнергии. Не рекомендуется использование для цинковых и окрашенных не качественной эмалью поверхностей. В процессе использования необходим пользоваться средствами индивидуальной защиты кожи рук.
</p>
<br>
<br>
ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li>Активные вещества в сочетании с лимонной кислотой мгновенно растворяют окаменевшую накипь и ржавчину, а также мелкую известковую взвесь
<li>Благодаря натуральным компонентам, соприкосновение пищи с почищенной посудой безопасно для здоровья
<li>Экономичный концентрированный состав – всего 50 мл на одно применение
<li>Продлевает срок службы водонагревательных приборов, защищает детали от коррозии, препятствуя накоплению слоев извести и ржавчины
<li>Снижает расход электроэнергии за счет ускорения работы очищенных от извести нагревательных элементов
<li>Работает даже в холодной воде - удобно для удаления известковых отложений из пластиковых емкостей
<br>
<br>
Состав:  Лимонная кислота 5-15%, уксусная кислота <5%, фосфонаты <5%, очищенная вода";"BAGI Средство для удаления накипи Кумкумит 350 мл";217;"FAIRY средство для мытья посуды Зеленое яблоко 650 мл;Пакеты для мусора 30 л Особо Прочные 25 шт;ДОМИНГО Перчатки с длинной манжетой Longa М";460454;"DOMESTOS туалетный блок Power 5 Duo Ледяная магнолия 1 шт;МИФ Средство для мытья посуды Свежесть цитрусов 1 л;BAGI Средство против грибка и плесени Анти-Плесень 500 мл"
"Бытовая химия/Чистящие средства/Чистящие средства для кухни";"Бытовая химия/Чистящие средства/Чистящие средства для кухни";1285;1;;"/storage/photo/original/d/kiehl-pennoe-chistyashee-sredstvo-dlya-pechej-i-grilej-xon-forte-750-ml.jpg";"KIEHL";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:KIEHL;
(Характеристики товара (Бытовая химия))Форма:Спрей;
(Характеристики товара (Бытовая химия))Страна происхождения:ГЕРМАНИЯ;
(Характеристики товара (Бытовая химия))EAN:4031255039893;
(Характеристики товара (Бытовая химия))Объем:750 мл;
(Характеристики товара (Бытовая химия))Код товара:j551047";"<p>
Универсальное чистящее средство экстра действия для чистки и ухода за поверхностями для приготовления пищи. Эффективно растворяет белковые и жировые отложения, воздействуя активной пеной. Имеет жидкую консистенцию и удобное распыляющее устройство. С его помощью средство наносится на загрязненную поверхность и бережно ее очищает, придавая ей блеск, не повреждая поверхность. Перед чисткой необходимо отключить источник питания и проверить стойкость поверхности в скрытом месте. Средство BAGI относится к алкальным, поэтому в процессе применения рекомендуется использовать средства индивидуальной защиты кожи рук.
</p>
<br>
<br>
ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Высокоэффективное чистящее средство. </li>
<li> Для удаления стойкого жира с кастрюль и сковородок. </li>
<li> Не допускать попадание на кожные покровы и слизистые оболочки. </li>
<li> Не применять для изделий из алюминия, окрашенных поверхностей и тефлоновых покрытий. </li>
<li> Перед применением рекомендуется взбалтывать. </li>
<li> Удаляет самые стойкие жировые отложения. </li>
<br>";"KIEHL Пенное чистящее средство для печей и грилей XON-forte 750 мл";1028;"VILEDA салфетка-губка Веттекс Классик 18х20 см голубая 1 шт;ЧИСТЮЛЯ пакеты для мусора Стандарт 30 л 31 шт;SANFOR средство для прочистки засоров в трубах 1000 мл";460455;"ЧИСТЮЛЯ губка поролоновая для ванной;АНТИЗАСОР Средство для удаления засоров в трубах гель 1000 мл"
"Детские товары/Подгузники и пеленание/Подгузники и трусики";"Детские товары/Подгузники и пеленание/Подгузники и трусики";1230;1;;"/storage/photo/original/d/pampers-podguzniki-premium-care-5-11-kg-28-sht.jpg";"PAMPERS";"(Характеристики товара (Детские товары))Тип товара:Подгузники;
(Характеристики товара (Детские товары))Бренд:PAMPERS;
(Характеристики товара (Детские товары))Серия:Premium Care;
(Характеристики товара (Детские товары))Размер:5 (Junior);
(Характеристики товара (Детские товары))Страна происхождения:РОССИЯ;
(Характеристики товара (Детские товары))Упаковка:До 40 шт;
(Характеристики товара (Детские товары))Вес ребенка:11 кг, 12 кг, 13 кг, 14 кг, 15 кг и более;
(Характеристики товара (Детские товары))EAN:8001090606884;
(Характеристики товара (Детские товары))Количество:28 шт;
(Характеристики товара (Детские товары))Код товара:CB-00030681";"<p>
Подгузники Pampers Premium Care, удобно надеваются и надежно крепятся липучками по бокам. Большое количество впитывающего материала надежно удерживает влагу, вы можете быть спокойны за комфорт вашего малыша и днем, и ночью. Пропитка подгузников детским лосьоном защитит кожу малыша, даже без применения дополнительных средств.
</p>
<br>
Особенности Продукта:
<br>
<li>гипоаллергенные
<li>мягкие и тонкие, хорошо сидят и не мешают движениям
<li>отлично впитывают влагу
<li>пропитка детским лосьоном
<li>дышащие";"PAMPERS подгузники Premium Care 5 (11+ кг) 28 шт";984;"ЛАПОЧКА крем-гель для купания 300 мл;LIBERO пеленки одноразовые 50x70 6 шт;ЛАПОЧКА средство для купания От Макушки до Пяток детское 300 мл";790192;"JOHNSON'S Baby Гель-пена для купания 2 в 1 Веселые пузырьки 300 мл;KABRITA молочная смесь Gold 1 с рождения 400 г"
"Зоотовары/Товары для собак/Корма для собак";"Зоотовары/Товары для собак/Корма для собак";411;1;;"/storage/photo/original/d/pro-plan-suhoj-korm-dlya-sobak-duo-delice-small-mini-adult-s-govyadinoj-i-risom-700-g.jpg";"PRO PLAN";"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для собак;
(Характеристики товара (Зоотовары))Бренд:PRO PLAN;
(Характеристики товара (Зоотовары))Серия:Duo Delice Small Adult;
(Характеристики товара (Зоотовары))Страна происхождения:-;
(Характеристики товара (Зоотовары))EAN:7613034819536;
(Характеристики товара (Зоотовары))Вес:700 г;
(Характеристики товара (Зоотовары))Код товара:CB-00034914";"Обеспечивает правильный баланс питательных веществ для поддержания здоровья и хорошего самочувствия взрослых маленьких собак. Тщательно отобранные ингредиенты и специально разработанный нами процесс приготовления обеспечивают высокую усвояемость корма, благодаря чему собаки получают необходимые им питательные веществаСобаки обожают инновационное сочетание хрустящих крокет и мягких кусочков, в которых основным ингредиентом является говядинаУникальное сочетание хрустящих крокет и мягких кусочков побуждает собаку с удовольствием пережевывать корм. Механическое воздействие хрустящих крокет на зубы вашей собаки действует как зубная щетка, тем самым способствуя уменьшению отложения зубного камняСодержащаяся в корме клетчатка помогает поддерживать здоровье пищеварительного тракта, помогает улучшить качество стула, а белок из специально подобранных ингредиентов питает клетки кишечника";"PRO PLAN сухой корм для собак Duo Delice Small & Mini Adult с говядиной и рисом 700 г";329;"ROYAL CANIN сухой корм Yorkshire Terrier Junior для щенков до 10 месяцев породы Йоркширского терьера 1,5 кг;PEDIGREE лакомство для щенков Tasty Bites Puppy с курицей 125 г;АВЗ витамины для собак Радостин до 6 лет с говядиной и селеном 90 т";620582;"WHISKAS лакомство для кошек Duo Treats c курицей и сыром 40 г;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см"
"Косметика и Уход/Уход за волосами/Шампуни";"Косметика и Уход/Уход за волосами/Шампуни";122;1;;"/storage/photo/original/d/chistaya-liniya-shampun-pshenica-i-otvar-lna-dlya-tonkih-i-oslablennih-volos-250-ml.jpg";"ЧИСТАЯ ЛИНИЯ";"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Бренд:ЧИСТАЯ ЛИНИЯ;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4600702082012;
(Характеристики товара (Косметика и уход))Объем:250 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00039987";"<br><p>Шампуни и Бальзамы ЧИСТАЯ ЛИНИЯ со знаком ЭКОконтроль гарантируют экологическую чистоту и пользу входящих трав.
Травы в составе продуктов ЧИСТАЯ ЛИНИЯ имеют паспорт качества и проходят многоступенчатый контроль экологической чистоты. ЧИСТАЯ ЛИНИЯ гарантирует эффективность: следит за соблюдением уровня активных веществ, использует только самые эффективные части растений, занимается клиническими исследованиями отвара трав.
