"Артикул";"Остаток";"Амизян";"Цена_Розничная"
"110194";"46";"117.75";"157"
"110195";"34";"482.22";"641"
"110220";"81";"375";"499"
"110204";"2977";"154.81";"206"
"110203";"580";"315.3";"419"
"110206";"2398";"44.09";"59"
"110205";"18370";"89.27";"119"
"110200";"949";"223.74";"298"
"110201";"6678";"72.49";"96"
"110202";"12022";"126.46";"168"
"110196";"3730";"332.22";"442"
"110199";"697";"38.78";"52"
"110198";"690";"103.95";"138"
"110197";"416";"182.44";"243"
"110212";"30";"172.49";"229"
"110211";"475";"47.82";"64"
"110209";"440";"112.01";"149"
"110207";"730";"98.08";"130"
"110210";"519";"91.51";"122"
"110208";"430";"88.66";"118"
"110218";"214";"104.06";"138"
"110219";"164";"163.36";"217"
"110213";"281";"178.81";"238"
"110214";"340";"96.66";"129"
"110215";"50";"254.17";"338"
"110217";"867";"72.24";"96"
"110216";"762";"130.38";"173"