"Категории";"Основная категория";"Показывать товар";"Артикул";"Цена_Трансазия";"Цена_Розничная";"Короткое название";"Бренд";"Фотографии";"Характеристики";"Описание товара";"Сопутствующие товары";"Рекомендуемые товары"
"Бытовая химия/Чистящие средства/Чистящие средства для кухни";"Бытовая химия/Чистящие средства/Чистящие средства для кухни";1;460444;;" ";"VORTEX	чистящее средство Daze для обезжиривания и удаления нагара 0,5 л";"VORTEX";"/storage/photo/original/e/vortexchistyashee-sredstvo-daze-dlya-obezzhirivaniya-i-udaleniya-nagara-05-l.jpg";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:VORTEX;
(Характеристики товара (Бытовая химия))Форма:Спрей;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Область применения:Металл, Нагар, Плита, Посуда;
(Характеристики товара (Бытовая химия))EAN:4630008889046;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00035946";"Щелочное моющее средство с высоким пенообразованием предназначено для удаления жира, нагара, копоти с посуды, кухонных плит, коптильных камер, грилей
Обладает высоким смачивающим, очищающим, эмульгирующим дейсвтвием
Эффективно удаляет белково-жировые пригары и смолы
Предназначено для удаления загрязнений с оборудования и поверхностей, стойких к воздействию щелочи
Легко смывается с поверхности";;
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";1;460445;149;186;"DOMESTOS  чистящее средство Ультра Блеск для унитаза 1 л";"DOMESTOS";"/storage/photo/original/e/domestos-chistyashee-sredstvo-ultra-blesk-dlya-unitaza-1-l.jpg";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство для унитаза;
(Характеристики товара (Бытовая химия))Бренд:DOMESTOS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:8714100707876;
(Характеристики товара (Бытовая химия))Объем:1 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00035227";"<p>
Чистящее средство для унитаза DOMESTOS Ультра Блеск – это эффективное чистящее средство, которое уничтожает микробы во всем доме для защиты вашей семьи. Благодаря специальной формуле с дезинфицирующим эффектом и чистящими компонентами DOMESTOS убивает все известные микробы, максимально отчищает грязь и устраняет неприятные запахи. Регулярное использование DOMESTOS обеспечит кристальную чистоту и белизну во всем доме. Рекомендуется использовать резиновые перчатки в процессе работы.
</p>
<br>
Особенности Продукта:
<br>
<li>
Сияющая чистота в труднодоступных местах
<li>
Очищает с блеском и предотвращает неприятные запахи
<li>
Инновационный 7-струйный дозатор для удобства нанесения в самые труднодоступные места
<li>
Густое и экономичное средство
<li>
Убивает бактерии, грибки, вирусы и споры
<br>
Состав:
Более 5% гипохлорид натрия, анионные ПАВ, неионогенные ПАВ, мыло, отдушка.
<br>";;
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";1;460446;;" ";"DOMESTOS  чистящее средство Эксперт Сила 7 для унитаза Ультра Белый 500 мл";"DOMESTOS";"/storage/photo/original/e/domestos-chistyashee-sredstvo-ekspert-sila-7-dlya-unitaza-ultra-belij-500-ml.jpg";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство для унитаза;
(Характеристики товара (Бытовая химия))Бренд:DOMESTOS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:8712561015882;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00038144";"<p>
Чистящее средство для унитаза DOMESTOS Эксперт Ультра Белый уничтожает микробы для защиты вашей семьи. Благодаря особой формуле с дезинфицирующим эффектом и чистящими компонентами DOMESTOS убивает все известные микробы, максимально отчищает грязь и устраняет неприятные запахи. Ежедневное использование DOMESTOS Эксперт Сила 7 обеспечивает быстрое и легкое очищение даже самых труднодоступных мест. Благодаря инновационному семиструйному дозатору DOMESTOS эффективно очищает унитаз и убивает микробы. </p>
<br>
Особенности Продукта:
<br>
<li>
Инновационный 7-струйный дозатор для удобства нанесения
<li>
Густое и экономичное средство
<li>
Максимальная зона нанесения
<li>
Уничтожает неприятные запахи
<li>
Убивает бактерии, грибки, вирусы и споры
<li>
Максимальная защита
<br>
Состав:
Менее 5 % гипохлорит натрия, анионные пав, неионогенные пав, мыло, отдушка.
<br>";;
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";1;460447;149;186;"DOMESTOS  чистящее средство Эксперт Сила 7 для унитаза Ультра Белый 1 л";"DOMESTOS";"/storage/photo/original/e/domestos-chistyashee-sredstvo-ekspert-sila-7-dlya-unitaza-ultra-belij-1-l.jpg";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство для унитаза;
(Характеристики товара (Бытовая химия))Бренд:DOMESTOS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:8712561015875;
(Характеристики товара (Бытовая химия))Объем:1 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00035232";"<p>
Чистящее средство для унитаза DOMESTOS Эксперт Ультра Белый уничтожает микробы для защиты вашей семьи. Благодаря особой формуле с дезинфицирующим эффектом и чистящими компонентами DOMESTOS убивает все известные микробы, максимально отчищает грязь и устраняет неприятные запахи. Ежедневное использование DOMESTOS Эксперт Сила 7 обеспечивает быстрое и легкое очищение даже самых труднодоступных мест. Благодаря инновационному семиструйному дозатору DOMESTOS эффективно очищает унитаз и убивает микробы. </p>
<br>
Особенности Продукта:
<br>
<li>
Инновационный 7-струйный дозатор для удобства нанесения
<li>
Густое и экономичное средство
<li>
Максимальная зона нанесения
<li>
Уничтожает неприятные запахи
<li>
Убивает бактерии, грибки, вирусы и споры
<li>
Максимальная защита
<br>
Состав:
Менее 5 % гипохлорит натрия, анионные пав, неионогенные пав, мыло, отдушка.
<br>";;
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";1;460448;;" ";"DOMESTOS  чистящее средство Green Лайм для унитаза 750 мл";"DOMESTOS";"/storage/photo/original/e/domestos-chistyashee-sredstvo-green-lajm-dlya-unitaza-750-ml.jpg";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство для унитаза;
(Характеристики товара (Бытовая химия))Бренд:DOMESTOS;
(Характеристики товара (Бытовая химия))Страна происхождения:Венгрия;
(Характеристики товара (Бытовая химия))EAN:8717163631591;
(Характеристики товара (Бытовая химия))Объем:750 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00040520";"<p>
Новинка бренда - чистящее средство для унитаза DOMESTOS Green Лайм служит для удаления известкового налета и ржавчины. Кислотное средство не содержит хлора и служит для удаления известкового налета и ржавчины, в том числе желтых, рыжих подтеков и белесых отложений. Действующее вещество в этом средстве - соляная кислота.  Хорошо удерживается на вертикальной поверхности, медленно стекая и действия даже под водой. Уникальная формула меняет цвет при контакте с водой. </p>
<br>
Особенности Продукта:
<br>
<li>
Инновационный 7-струйный дозатор для удобства нанесения
<li>
Ультрагустая формула
<li>
Убивает микробы
<li>
Удаляет известковый налет и ржавчину
<li>
Работает даже под водой
<li>
Устраняет неприятные запахи
<br>
Состав:
5-15% соляная кислота, менее 5% неионогенные ПАВ, менее 5% катионные ПАВ, менее 5% отдушка.
<br>";;
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";1;460449;;" ";"DOMESTOS  чистящее средство Активный Щит для унитаза Свежесть Лайма 750 мл";"DOMESTOS";"/storage/photo/original/e/domestos-chistyashee-sredstvo-aktivnij-shit-dlya-unitaza-svezhest-lajma-750-ml.jpg";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство для унитаза;
(Характеристики товара (Бытовая химия))Бренд:DOMESTOS;
(Характеристики товара (Бытовая химия))Страна происхождения:Венгрия;
(Характеристики товара (Бытовая химия))EAN:8712561531771;
(Характеристики товара (Бытовая химия))Объем:750 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00040685";"<p>
Чистящее средство для унитаза DOMESTOS Активный Щит Свежесть Лайма уничтожает микробы для защиты вашей семьи. Благодаря особой формуле Multi Jet позволяет нанести средство в самые труднодоступные места, обеспечивая уничтожение въевшейся грязи,
ржавчины, известкового налёта и микробов. Ежедневное использование DOMESTOS Активный Щит создаёт защитный слой на поверхности унитаза, продлевая его чистоту и сияние до следующей уборки. Удобен в применении благодаря инновационному семиструйному дозатору.  </p>
<br>
Особенности Продукта:
<br>
<li>
Инновационный 7-струйный дозатор для удобства нанесения
<li>
Ультрагустая формула
<li>
Убивает микробы
<li>
Устраняет неприятные запахи
<li>
Придает поверхности свежий аромат
<br>
Состав:
< 5% перекись водорода, катионные пав, отдушка.
<br>";;
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";1;460450;;" ";"DOMESTOS  чистящее средство Активный Щит для унитаза Свежесть Океана 750 мл";"DOMESTOS";"/storage/photo/original/e/domestos-chistyashee-sredstvo-aktivnij-shit-dlya-unitaza-svezhest-okeana-750-ml.jpg";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство для унитаза;
(Характеристики товара (Бытовая химия))Бренд:DOMESTOS;
(Характеристики товара (Бытовая химия))Страна происхождения:Венгрия;
(Характеристики товара (Бытовая химия))EAN:8712561531740;
(Характеристики товара (Бытовая химия))Объем:750 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00040686";"<p>
Чистящее средство для унитаза DOMESTOS Активный Щит Свежесть Океана уничтожает микробы для защиты вашей семьи. Благодаря особой формуле Multi Jet позволяет нанести средство в самые труднодоступные места, обеспечивая уничтожение въевшейся грязи,
ржавчины, известкового налёта и микробов. Ежедневное использование DOMESTOS Активный Щит создаёт защитный слой на поверхности унитаза, продлевая его чистоту и сияние до следующей уборки. Удобен в применении благодаря инновационному семиструйному дозатору.  </p>
<br>
Особенности Продукта:
<br>
<li>
Инновационный 7-струйный дозатор для удобства нанесения
<li>
Ультрагустая формула
<li>
Убивает микробы
<li>
Устраняет неприятные запахи
<li>
Придает поверхности свежий аромат
<br>
Состав:
< 5% перекись водорода, катионные пав, отдушка.
<br>";;
"Детские товары/Товары для кормления/Бутылочки и поильники";"Детские товары/Товары для кормления/Бутылочки и поильники";1;790190;199;249;"PIGEON соска силиконовая Перистальтик Плюс  размер S (1+ мес) 2 шт";"PIGEON";"/storage/photo/original/e/pigeon-soska-silikonovaya-peristaltik-plyus-razmer-s-1-mes-2-sht.jpg";"(Характеристики товара (Детские товары))Тип товара:Соска для бутылочки;
(Характеристики товара (Детские товары))Бренд:PIGEON;
(Характеристики товара (Детские товары))Страна происхождения:Таиланд;
(Характеристики товара (Детские товары))EAN:4902508018265;
(Характеристики товара (Детские товары))Количество:2 шт;
(Характеристики товара (Детские товары))Код товара:CB-00041583";"<p>
Соска запасная к бутылочке для кормления PIGEON разработана специально для младенцев старше от 1 до 3 месяцев, находящихся на грудном вскармливании. Создана в поддержку грудного вскармливания. Не вызывает путаницы сосков. Уникальная конструкция соски позволяет воспроизводить естественные механизмы сосания груди матери. Матовая текстурированная поверхность способствует надежному захвату соски. Запатентованная вентиляционная система обеспечивает равномерное поступление молока во время кормления. Прошла клинические исследования, изготовлена из очень мягкого, эластичного и плотного силикона, уникальная конструкции соски позволяет формировать естественный прикус. </p>
<br>
Особенности Продукта:
<br>
<li>
Соска для бутылочек PIGEON с широким горлом
<li>
Двойной мягкий силикон
<li>
Вертикальная линия делает соску устойчивой к слипанию
<li>
Средняя скорость поступления жидкости
<li>
Особая форма для стимуляции сосательной деятельности
<li>
Вентиляционное антиколиковое отверстие
<li>
Для детей старше 1 месяца
<br>
Состав:
Силикон.";;
"Детские товары/Купание и гигиена/Наборы детской косметики";"Детские товары/Купание и гигиена/Наборы детской косметики";1;790191;;" ";"SCHAUMA подарочный набор для мальчиков Шампунь-гель для душа Schauma 225 мл  + Гель для тела и волос Fa 250 мл + держатель для зубной щетки";"SCHAUMA";"/storage/photo/original/e/schauma-podarochnij-nabor-dlya-malchikov-shampun-gel-dlya-dusha-schauma-225-ml-gel-dlya-tela-i-volos-fa-250-ml-derzhatel-dlya-zubnoj-shetki.jpg";"(Характеристики товара (Детские товары))Тип товара:Подарочный набор;
(Характеристики товара (Детские товары))Бренд:SCHAUMA;
(Характеристики товара (Детские товары))Страна происхождения:РОССИЯ;
(Характеристики товара (Детские товары))EAN:4015100216929;
(Характеристики товара (Детские товары))Код товара:CB-00039383";"<br><p>Гель для тела и волос Fa Kids Храбрый пират:
Подарит Вашему малышу яркое морское приключение. Он нежно очищает кожу, делая ее невероятно мягкой. Этот гель для душа с провитамином В5 разработан специально для детей, подходит для тела и волос и дарит вашему малышу купание без слез и легкое расчесывание. pH-нейтрален. Хорошая переносимость кожей подтверждена дерматологами.
Шампунь-гель для душа Schauma Kids Для мальчиков:
Больше веселья во время купания вместе с Schauma Kids! Нежный и бережный уход специально для волос и кожи детей — без спутывания и без слез — мягкая гипоаллергенная формула без пропиленгликоля, сульфатов и красителей. Нежный, свежий аромат!</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";;
"Продукты/Бакалея/Крупы, бобы";"Продукты/Бакалея/Крупы, бобы";1;180015;;" ";"НАЦИОНАЛЬ Premium рис смесь Дикого и бурого  риса 500 г";"НАЦИОНАЛЬ";"/storage/photo/original/e/nacional-premium-ris-smes-dikogo-i-burogo-risa-500-g.jpg";"(Характеристики товара (Продукты))Тип товара:Рис;
(Характеристики товара (Продукты))Бренд:НАЦИОНАЛЬ;
(Характеристики товара (Продукты))Форма упаковки:Пакет;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4600935000678;
(Характеристики товара (Продукты))Вес:500 г;
(Характеристики товара (Продукты))Код товара:CB-00023846";"Обладает оригинальным вкусом благодаря сочетанию нешлифованного бурого риса и чёрных зёрен дикого риса. Это прекрасно сбалансированный диетический продукт, богатый белками, витаминами, клетчаткой и микроэлементами, в том числе железом. Смесь дикого и бурого риса незаменима во многих диетах и популярна у сторонников здорового питания.";;
"Продукты/Бакалея/Макаронные изделия";"Продукты/Бакалея/Макаронные изделия";1;180016;;" ";"MALTAGLIATI  макароны Filini вермишель 500 гр";"MALTAGLIATI";"/storage/photo/original/e/maltagliati-makaroni-filini-vermishel-500-gr.jpg";"(Характеристики товара (Продукты))Тип товара:Макароны;
(Характеристики товара (Продукты))Бренд:MALTAGLIATI;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:8001810903521;
(Характеристики товара (Продукты))Код товара:CB-00032682";"<br><p>Макаронные изделия Maltagliati производятся в Италии в Тоскане с 1848 года. Несмотря на то, что ""Maltagliati"" - это имя собственное, с начала прошлого века ""Maltagliati"" используется в Италии как нарицательное имя для домашней лапши и формата макаронных изделий похожих на домашнюю лапшу. Это самые известные итальянские макаронные изделия на территории Российской Федерации и, вероятно, всего бывшего СССР. </p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";;
"Продукты/Бакалея/Орехи, семечки, сухофрукты";"Продукты/Бакалея/Орехи, семечки, сухофрукты";1;180017;;" ";"SEEBERGER изюм султанский без косточек 200 г";"SEEBERGER";"/storage/photo/original/e/seeberger-izyum-sultanskij-bez-kostochek-200-g.jpg";"(Характеристики товара (Продукты))Тип товара:Изюм;
(Характеристики товара (Продукты))Бренд:SEEBERGER;
(Характеристики товара (Продукты))Страна происхождения:ТУРЦИЯ;
(Характеристики товара (Продукты))EAN:4008258171011;
(Характеристики товара (Продукты))Вес:200 г;
(Характеристики товара (Продукты))Код товара:00000000671";"Отборный мягкий изюм сохранил свою сочность благодаря добавлению полезного хлопкового масла. Помимо большого содержания калия, изюм славится своим успокаивающим действием на организм. В его состав входит никотиновая кислота, регулирующая нервную деятельность. Отлично сочетается с курагой и черносливом в выпечке и компотах, мюсли и йогуртах, а также в качестве любопытного дополнения мяса птицы, кускуса, булгура или киноа.";;
"Продукты/Бакалея/Орехи, семечки, сухофрукты";"Продукты/Бакалея/Орехи, семечки, сухофрукты";1;180018;;" ";"SEEBERGER клюква в сахаре мягкая 125 г";"SEEBERGER";"/storage/photo/original/e/seeberger-klyukva-v-sahare-myagkaya-125-g.jpg";"(Характеристики товара (Продукты))Тип товара:Фрукты сушеные;
(Характеристики товара (Продукты))Бренд:SEEBERGER;
(Характеристики товара (Продукты))Страна происхождения:Канада;
(Характеристики товара (Продукты))EAN:4008258296004;
(Характеристики товара (Продукты))Вес:125 г;
(Характеристики товара (Продукты))Код товара:00000003463";"Сочная клюква, подслащенная сахаром, становится еще вкуснее. Seeberger отбирает только определенные сорта канадской клюквы, которые неторопливо высушиваются при средней температуре. Такая сушеная клюква обладает сладким вкусом и насыщенным ароматом.<br />
<br />
Состав: Клюква, сахар, подсолнечное масло";;
"Продукты/Бакалея/Орехи, семечки, сухофрукты";"Продукты/Бакалея/Орехи, семечки, сухофрукты";1;180019;;" ";"SEEBERGER изюм из темного винограда 200 г";"SEEBERGER";"/storage/photo/original/e/seeberger-izyum-iz-temnogo-vinograda-200-g.jpg";"(Характеристики товара (Продукты))Тип товара:Изюм;
(Характеристики товара (Продукты))Бренд:SEEBERGER;
(Характеристики товара (Продукты))Страна происхождения:ЮЖНАЯ АФРИКА;
(Характеристики товара (Продукты))EAN:4008258161012;
(Характеристики товара (Продукты))Вес:200 г;
(Характеристики товара (Продукты))Код товара:CB-00000458";"Сушеные ягоды крупного темного винограда отличаются насыщенным сладким вкусом. Помимо большого содержания калия, изюм славится своим успокаивающим действием на организм. В его состав входит никотиновая кислота, регулирующая нервную деятельность. Лакомство можно употреблять, как самостоятельное блюдо, а также добавлять в каши, йогурты, салаты и выпечку.";;
"Продукты/Бакалея/Орехи, семечки, сухофрукты";"Продукты/Бакалея/Орехи, семечки, сухофрукты";1;180020;;" ";"SEEBERGER орех грецкий 150 г";"SEEBERGER";"/storage/photo/original/e/seeberger-oreh-greckij-150-g.jpg";"(Характеристики товара (Продукты))Тип товара:Орехи;
(Характеристики товара (Продукты))Бренд:SEEBERGER;
(Характеристики товара (Продукты))Страна происхождения:ЧИЛИ;
(Характеристики товара (Продукты))EAN:4008258130018;
(Характеристики товара (Продукты))Вес:150 г;
(Характеристики товара (Продукты))Код товара:00000000409";"Очищенные грецкие орехи отличаются приятным, слегка терпким вкусом. Их можно добавлять в каши и мюсли. Так же отличной идеей будет украсить грецкими орехами выпечку. Возьмите орехи с собой на учебу или работу в качестве перекуса! Грецкие орехи содержат большое количество витамина Е, который помогает при профилактике проблем с сердем.";;
"Продукты/Бакалея/Орехи, семечки, сухофрукты";"Продукты/Бакалея/Орехи, семечки, сухофрукты";1;180021;;" ";"SEEBERGER орехи кешью 200 г";"SEEBERGER";"/storage/photo/original/e/seeberger-orehi-keshyu-200-g.jpg";"(Характеристики товара (Продукты))Тип товара:Орехи;
(Характеристики товара (Продукты))Бренд:SEEBERGER;
(Характеристики товара (Продукты))Страна происхождения:ИНДИЯ;
(Характеристики товара (Продукты))EAN:4008258107010;
(Характеристики товара (Продукты))Вес:200 г;
(Характеристики товара (Продукты))Код товара:00000000408";"Отборные орехи кешью в удобной упаковке отличаются нежным, сливочным вкусом. Орехи кешью обладают нежным, сливочным вкусом. В кулинарии их используют как самостоятельную закуску, а также для приготовления салатов, супов, мясных и рыбных блюд, кондитерских изделий. Орешки кешью — вкусный и полезный способ перекусить! Добавляйте орешки в кашу, выпечку, к йогуртам и творогу. Покрошите орешки и смешайте с медом, чтобы получить оригинальную начинку для десерта!";;
